40.673,1

66.693,1

93.373,1

81.095,1

48.455,1

75.675,1

41.705,1

97.179,1

98.797,1

86.415,1

38.888,0

45.474,1

24.669,0

78.442,1

88.284,1

91.371,1

55.828,1

59.887,1

14.888,0

89.971,1

45.039,1

20.567,0

89.965,1

76.259,1

88.249,1

28.495,0

67.323,1

66.428,1

12.281,0

40.732,0

27.529,0

71.667,1

28.338,0

89.62,1

82.658,1

39.003,1

49.79,1

69.481,1

83.437,1

60.963,1

57.474,1

32.604,0

45.642,1

71.38,1

88.441,1

72.086,1

1.8613,0

67.478,1

43.851,1

43.782,1

11.704,0

81.468,1

32.486,0

24.623,0

34.271,0

37.569,0

54.655,1

56.192,1

39.582,1

39.813,0

51.537,1

65.753,1

95.092,1

72.235,1

40.008,0

83.187,1

13.434,0

6.0467,0

8.4247,0

16.39,0

32.422,0

30.173,0

1.1681,0

53.991,1

9.5373,0

14.651,0

63.114,1

85.932,1

97.422,1

57.084,1

99.685,1

55.354,1

51.546,1

33.068,0

43,1
49,1
81,1

7.1037,0

88.774,1

6.4634,0

43.618,1

82.663,1

39.453,1

61.347,1
81.864,1

88.624,1

93.111,1

19.078,0

25.858,0

89.787,1

59.336,1
